"power_scale","h_W_m2_K","total_wall_loss_W","max_T_K","avg_wall_T_K","max_delta_T_K","avg_delta_T_K","convective_heat_removed_W","heat_balance_residual_W","solve_elapsed_s"
"0.5","100","10","294.02086059777","293.983088771616","0.87086059777","0.833088771616","10.000000000019","-1.9E-11","4.248"
"0.5","500","10","293.362990305244","293.325786552229","0.212990305244","0.175786552229","10.000000000005","-5E-12","4.248"
"0.5","1000","10","293.280030184353","293.243470490406","0.130030184353","0.093470490406","10.000000000004","-4E-12","4.248"
"1","100","20","294.891721195541","294.816177543231","1.741721195541","1.666177543231","20.000000000038","-3.8E-11","4.248"
"1","500","20","293.575980610489","293.501573104455","0.425980610489","0.351573104455","20.000000000009","-9E-12","4.248"
"1","1000","20","293.410060368705","293.336940980811","0.260060368705","0.186940980811","20.000000000005","-5E-12","4.248"
"2","100","40","296.633442391082","296.482355086462","3.483442391082","3.332355086462","40.000000000076","-7.6E-11","4.248"
"2","500","40","294.001961220978","293.85314620891","0.851961220978","0.70314620891","40.000000000018","-1.8E-11","4.248"
"2","1000","40","293.67012073741","293.523881961621","0.520120737411","0.373881961621","40.00000000001","-1E-11","4.248"
