"power_scale","h_W_m2_K","total_wall_loss_W","max_T_K","avg_wall_T_K","max_delta_T_K","avg_delta_T_K","convective_heat_removed_W","heat_balance_residual_W","constructed_phase4_max_delta_T_K","field_minus_constructed_delta_T_K","solve_elapsed_s"
"0.5","100","10","294.029911908803","293.982564596894","0.879911908803","0.832564596894","10.000000000019","-1.9E-11","0.87086059777","0.009051311033","4.486"
"0.5","500","10","293.371857259425","293.325246994931","0.221857259425","0.175246994931","10.000000000005","-5E-12","0.212990305244","0.008866954181","4.486"
"0.5","1000","10","293.288675514951","293.242912901527","0.138675514951","0.092912901527","10.000000000003","-3E-12","0.130030184353","0.008645330598","4.486"
"1","100","20","294.909823817606","294.815129193787","1.759823817606","1.665129193787","20.000000000038","-3.8E-11","1.741721195541","0.018102622065","4.486"
"1","500","20","293.593714518851","293.500493989862","0.443714518851","0.350493989862","20.000000000009","-9E-12","0.425980610489","0.017733908362","4.486"
"1","1000","20","293.427351029901","293.335825803052","0.277351029901","0.185825803052","20.000000000006","-6E-12","0.260060368705","0.017290661196","4.486"
"2","100","40","296.669647635212","296.480258387574","3.519647635213","3.330258387574","40.000000000076","-7.6E-11","3.483442391082","0.036205244131","4.486"
"2","500","40","294.037429037702","293.850987979723","0.887429037702","0.700987979723","40.000000000018","-1.8E-11","0.851961220978","0.035467816724","4.486"
"2","1000","40","293.704702059802","293.521651606106","0.554702059802","0.371651606107","40.00000000001","-1E-11","0.520120737411","0.034581322391","4.486"
